Secteur;Commune;Population;lit_touristique;population_estivale_potentielle;coefficient_pression_estivale
CH de Béziers;Agel;240;0;240;1,00
CH de Béziers;Aigne;301;0;301;1,00
CH de Béziers;Aigues-Vives;476;0;476;1,00
CH de Béziers;Assignan;174;50;224;1,29
CH de Béziers;Babeau-Bouldoux;309;0;309;1,00
CH de Béziers;Berlou;211;0;211;1,00
CH de Béziers;Béziers;81545;2692;84237;1,03
CH de Béziers;Capestang;3514;116;3630;1,03
CH de Béziers;Causses-et-Veyran;613;0;613;1,00
CH de Béziers;Cazedarnes;682;0;682;1,00
CH de Béziers;Cazouls-lès-Béziers;5261;16;5277;1,00
CH de Béziers;Cébazan;646;0;646;1,00
CH de Béziers;Cers;2503;0;2503;1,00
CH de Béziers;Cessenon-sur-Orb;2410;194;2604;1,08
CH de Béziers;Colombiers;2814;1244;4058;1,44
CH de Béziers;Creissan;1436;110;1546;1,08
CH de Béziers;Cruzy;992;0;992;1,00
CH de Béziers;Ferrières-Poussarou;74;0;74;1,00
CH de Béziers;La Caunette;326;0;326;1,00
CH de Béziers;Lespignan;3414;0;3414;1,00
CH de Béziers;Maraussan;4789;0;4789;1,00
CH de Béziers;Maureilhan;2495;0;2495;1,00
CH de Béziers;Minerve;98;0;98;1,00
CH de Béziers;Montady;3990;0;3990;1,00
CH de Béziers;Montels;247;0;247;1,00
CH de Béziers;Montouliers;242;0;242;1,00
CH de Béziers;Murviel-lès-Béziers;3000;0;3000;1,00
CH de Béziers;Nissan-lez-Enserune;4124;362;4486;1,09
CH de Béziers;Pardailhan;193;0;193;1,00
CH de Béziers;Pierrerue;289;0;289;1,00
CH de Béziers;Poilhes;548;0;548;1,00
CH de Béziers;Portiragnes;3530;11482;15012;4,25
CH de Béziers;Prades-sur-Vernazobre;374;0;374;1,00
CH de Béziers;Puisserguier;3078;0;3078;1,00
CH de Béziers;Quarante;1776;0;1776;1,00
CH de Béziers;Roquebrun;601;198;799;1,33
CH de Béziers;Saint-Chinian;1811;234;2045;1,13
CH de Béziers;Saint-Jean-de-Minervois;131;0;131;1,00
CH de Béziers;Saint-Nazaire-de-Ladarez;327;0;327;1,00
CH de Béziers;Sauvian;5608;774;6382;1,14
CH de Béziers;Sérignan;8588;20716;29304;3,41
CH de Béziers;Valras-Plage;4432;8304;12736;2,87
CH de Béziers;Vendres;2616;15182;17798;6,80
CH de Béziers;Villeneuve-lès-Béziers;4500;1394;5894;1,31
CH de Béziers;Villespassans;185;0;185;1,00
Clinique des 3 Vallées;Avène;294;378;672;2,29
Clinique des 3 Vallées;Bédarieux;5804;180;5984;1,03
Clinique des 3 Vallées;Cabrerolles;343;0;343;1,00
Clinique des 3 Vallées;Cambon-et-Salvergues;52;0;52;1,00
Clinique des 3 Vallées;Camplong;212;0;212;1,00
Clinique des 3 Vallées;Carlencas-et-Levas;110;0;110;1,00
Clinique des 3 Vallées;Castanet-le-Haut;224;0;224;1,00
Clinique des 3 Vallées;Caussiniojouls;164;0;164;1,00
Clinique des 3 Vallées;Ceilhes-et-Rocozels;242;708;950;3,93
Clinique des 3 Vallées;Colombières-sur-Orb;498;0;498;1,00
Clinique des 3 Vallées;Combes;318;0;318;1,00
Clinique des 3 Vallées;Faugères;548;0;548;1,00
Clinique des 3 Vallées;Fos;133;214;347;2,61
Clinique des 3 Vallées;Graissessac;554;0;554;1,00
Clinique des 3 Vallées;Hérépian;1594;124;1718;1,08
Clinique des 3 Vallées;Joncels;256;0;256;1,00
Clinique des 3 Vallées;La Tour-sur-Orb;1350;246;1596;1,18
Clinique des 3 Vallées;Lamalou-les-Bains;2389;1190;3579;1,50
Clinique des 3 Vallées;Le Bousquet-d’Orb;1599;0;1599;1,00
Clinique des 3 Vallées;Le Poujol-sur-Orb;947;0;947;1,00
Clinique des 3 Vallées;Le Pradal;319;0;319;1,00
Clinique des 3 Vallées;Les Aires;618;342;960;1,55
Clinique des 3 Vallées;Lunas;832;160;992;1,19
Clinique des 3 Vallées;Mons;678;832;1510;2,23
Clinique des 3 Vallées;Montesquieu;75;0;75;1,00
Clinique des 3 Vallées;Olargues;488;20;508;1,04
Clinique des 3 Vallées;Pézènes-les-Mines;237;0;237;1,00
Clinique des 3 Vallées;Prémian;479;126;605;1,26
Clinique des 3 Vallées;Riols;708;0;708;1,00
Clinique des 3 Vallées;Romiguières;24;0;24;1,00
Clinique des 3 Vallées;Roqueredonde;211;0;211;1,00
Clinique des 3 Vallées;Roquessels;119;0;119;1,00
Clinique des 3 Vallées;Rosis;279;0;279;1,00
Clinique des 3 Vallées;Saint-Étienne-d’Albagnan;302;0;302;1,00
Clinique des 3 Vallées;Saint-Étienne-Estréchoux;259;0;259;1,00
Clinique des 3 Vallées;Saint-Geniès-de-Varensal;202;0;202;1,00
Clinique des 3 Vallées;Saint-Gervais-sur-Mare;859;206;1065;1,24
Clinique des 3 Vallées;Saint-Julien;228;0;228;1,00
Clinique des 3 Vallées;Saint-Martin-de-l’Arçon;101;0;101;1,00
Clinique des 3 Vallées;Saint-Pons-de-Thomières;1706;718;2424;1,42
Clinique des 3 Vallées;Saint-Vincent-d’Olargues;355;0;355;1,00
Clinique des 3 Vallées;Taussac-la-Billière;460;0;460;1,00
Clinique des 3 Vallées;Valmascle;52;0;52;1,00
Clinique des 3 Vallées;Vieussan;267;0;267;1,00
Clinique des 3 Vallées;Villemagne-l’Argentière;415;0;415;1,00
Clinique Pasteur;Abeilhan;1850;0;1850;1,00
Clinique Pasteur;Adissan;1371;0;1371;1,00
Clinique Pasteur;Alignan-du-Vent;1796;134;1930;1,07
Clinique Pasteur;Aspiran;1672;0;1672;1,00
Clinique Pasteur;Aumes;498;0;498;1,00
Clinique Pasteur;Cabrières;560;0;560;1,00
Clinique Pasteur;Campagnan;714;0;714;1,00
