Secteur;Commune;Population;lit_touristique;population_estivale_potentielle;coefficient_pression_estivale
Clinique Via Domitia;La Grande-Motte;8440;15216;23656;2,80
Clinique Via Domitia;Candillargues;2091;0;2091;1,00
Clinique Via Domitia;Mudaison;3009;0;3009;1,00
Clinique Via Domitia;Lansargues;3233;330;3563;1,10
Clinique Via Domitia;Saint-Nazaire-de-Pézan;625;0;625;1,00
Clinique Via Domitia;Saint-Just;3293;0;3293;1,00
Clinique Via Domitia;Valergues;2238;0;2238;1,00
Clinique Via Domitia;Lunel-Viel;4507;0;4507;1,00
Clinique Via Domitia;Lunel;26623;2654;29277;1,10
Clinique Via Domitia;Marsillargues;6988;0;6988;1,00
Clinique Via Domitia;Vérargues;2200;552;2752;1,25
Clinique Via Domitia;Saint-Christol;2200;552;2752;1,25
Clinique Via Domitia;Saturargues;1022;0;1022;1,00
Clinique Via Domitia;Saint-Sériès;972;0;972;1,00
Clinique Via Domitia;Villetelle;1768;0;1768;1,00
Clinique Via Domitia;Boisseron;2185;462;2647;1,21
Clinique Via Domitia;Saussines;1001;0;1001;1,00
Clinique Via Domitia;Galargues;752;0;752;1,00
Clinique Via Domitia;Campagne;318;0;318;1,00
Clinique Via Domitia;Garrigues;236;0;236;1,00
