code_insee;Nom_commune;Population;lit_touristique;population_estivale_potentielle;coefficient_pression_estivale
34001;Abeilhan;1850;0;1850;1,00
34002;Adissan;1371;0;1371;1,00
34003;Agde;29939;52724;82663;2,76
34004;Agel;240;0;240;1,00
34005;Agonès;319;0;319;1,00
34006;Aigne;301;0;301;1,00
34007;Aigues-Vives;476;0;476;1,00
34009;Alignan-du-Vent;1796;134;1930;1,07
34010;Aniane;2979;416;3395;1,14
34011;Arboras;107;0;107;1,00
34012;Argelliers;1002;16;1018;1,02
34013;Aspiran;1672;0;1672;1,00
34014;Assas;1405;0;1405;1,00
34015;Assignan;174;50;224;1,29
34016;Aumelas;624;0;624;1,00
34017;Aumes;498;0;498;1,00
34018;Autignac;982;0;982;1,00
34019;Avène;294;378;672;2,29
34020;Azillanet;357;290;647;1,81
34021;Babeau-Bouldoux;309;0;309;1,00
34022;Baillargues;7829;548;8377;1,07
34024;Balaruc-le-Vieux;2737;454;3191;1,17
34023;Balaruc-les-Bains;7139;7826;14965;2,10
34025;Bassan;2383;0;2383;1,00
34026;Beaufort;214;0;214;1,00
34027;Beaulieu;2264;0;2264;1,00
34030;Berlou;211;0;211;1,00
34031;Bessan;5838;646;6484;1,11
34033;Boisseron;2185;462;2647;1,21
34034;Boisset;43;0;43;1,00
34037;Boujan-sur-Libron;3619;74;3693;1,02
34039;Bouzigues;1601;298;1899;1,19
34040;Brenas;58;0;58;1,00
34041;Brignac;978;0;978;1,00
34042;Brissac;615;1420;2035;3,31
34043;Buzignargues;378;0;378;1,00
34028;Bédarieux;5804;180;5984;1,03
34029;Bélarga;664;0;664;1,00
34032;Béziers;81545;2692;84237;1,03
34044;Cabrerolles;343;0;343;1,00
34045;Cabrières;560;0;560;1,00
34046;Cambon-et-Salvergues;52;0;52;1,00
34047;Campagnan;714;0;714;1,00
34048;Campagne;318;0;318;1,00
34049;Camplong;212;0;212;1,00
34050;Candillargues;2091;0;2091;1,00
34051;Canet;3619;630;4249;1,17
34052;Capestang;3514;116;3630;1,03
34053;Carlencas-et-Levas;110;0;110;1,00
34054;Cassagnoles;109;0;109;1,00
34055;Castanet-le-Haut;224;0;224;1,00
34056;Castelnau-de-Guers;1208;1040;2248;1,86
34057;Castelnau-le-Lez;26058;192;26250;1,01
34058;Castries;6883;436;7319;1,06
34060;Causse-de-la-Selle;454;0;454;1,00
34061;Causses-et-Veyran;613;0;613;1,00
34062;Caussiniojouls;164;0;164;1,00
34063;Caux;2718;0;2718;1,00
34065;Cazedarnes;682;0;682;1,00
34066;Cazevieille;233;0;233;1,00
34067;Cazilhac;1605;24;1629;1,01
34068;Cazouls-d'Hérault;420;0;420;1,00
34069;Cazouls-lès-Béziers;5261;16;5277;1,00
34071;Ceilhes-et-Rocozels;242;708;950;3,93
34072;Celles;26;308;334;12,85
34073;Cers;2503;0;2503;1,00
34074;Cessenon-sur-Orb;2410;194;2604;1,08
34075;Cesseras;435;106;541;1,24
34076;Ceyras;1404;0;1404;1,00
34077;Clapiers;6006;1034;7040;1,17
34078;Claret;1745;0;1745;1,00
34079;Clermont-l'Hérault;9461;1378;10839;1,15
34081;Colombiers;2814;1244;4058;1,44
34080;Colombières-sur-Orb;498;0;498;1,00
34082;Combaillaux;2001;0;2001;1,00
34083;Combes;318;0;318;1,00
34084;Corneilhan;1622;0;1622;1,00
34085;Coulobres;367;0;367;1,00
34086;Courniou;610;0;610;1,00
34087;Cournonsec;3616;0;3616;1,00
34088;Cournonterral;7359;0;7359;1,00
34089;Creissan;1436;110;1546;1,08
34092;Cruzy;992;0;992;1,00
34070;Cébazan;646;0;646;1,00
34246;Entre-Vignes;2200;552;2752;1,25
34094;Espondeilhan;1268;0;1268;1,00
34095;Fabrègues;7447;3682;11129;1,49
34096;Faugères;548;0;548;1,00
34098;Ferrals-les-Montagnes;156;0;156;1,00
34100;Ferrières-Poussarou;74;0;74;1,00
34099;Ferrières-les-Verreries;47;20;67;1,43
34101;Florensac;5254;66;5320;1,01
34102;Fontanès;358;0;358;1,00
34103;Fontès;1060;632;1692;1,60
34104;Fos;133;214;347;2,61
34105;Fouzilhon;243;0;243;1,00
34106;Fozières;194;0;194;1,00
34107;Fraisse-sur-Agout;319;70;389;1,22
34108;Frontignan;24136;2378;26514;1,10
34097;Félines-Minervois;502;0;502;1,00
34109;Gabian;886;0;886;1,00
34110;Galargues;752;0;752;1,00
34111;Ganges;3724;38;3762;1,01
34112;Garrigues;236;0;236;1,00
34113;Gigean;6639;0;6639;1,00
34114;Gignac;6651;430;7081;1,06
34115;Gorniès;103;0;103;1,00
34116;Grabels;9092;86;9178;1,01
34117;Graissessac;554;0;554;1,00
34118;Guzargues;502;0;502;1,00
34119;Hérépian;1594;124;1718;1,08
34120;Jacou;6924;0;6924;1,00
34121;Joncels;256;0;256;1,00
34122;Jonquières;590;0;590;1,00
34123;Juvignac;14055;602;14657;1,04
34035;La Boissière;1072;0;1072;1,00
34059;La Caunette;326;0;326;1,00
34344;La Grande-Motte;8440;15216;23656;2,80
34141;La Livinière;530;0;530;1,00
34293;La Salvetat-sur-Agout;1108;2272;3380;3,05
34312;La Tour-sur-Orb;1350;246;1596;1,18
34317;La Vacquerie-et-Saint-Martin-de-Castries;210;0;210;1,00
34124;Lacoste;303;0;303;1,00
34125;Lagamas;111;0;111;1,00
34126;Lamalou-les-Bains;2389;1190;3579;1,50
34127;Lansargues;3233;330;3563;1,10
34128;Laroque;1668;246;1914;1,15
34129;Lattes;17351;6062;23413;1,35
34130;Laurens;1815;438;2253;1,24
34131;Lauret;626;42;668;1,07
34132;Lauroux;214;0;214;1,00
34133;Lavalette;53;0;53;1,00
34134;Lavérune;3302;28;3330;1,01
34036;Le Bosc;1435;552;1987;1,38
34038;Le Bousquet-d'Orb;1599;0;1599;1,00
34064;Le Caylar;460;180;640;1,39
34091;Le Cros;60;0;60;1,00
34090;Le Crès;9226;0;9226;1,00
34210;Le Pouget;2122;142;2264;1,07
34211;Le Poujol-sur-Orb;947;0;947;1,00
34216;Le Pradal;319;0;319;1,00
34220;Le Puech;262;0;262;1,00
34305;Le Soulié;137;16;153;1,12
34314;Le Triadou;737;0;737;1,00
34008;Les Aires;618;342;960;1,55
34153;Les Matelles;2068;0;2068;1,00
34205;Les Plans;315;402;717;2,28
34230;Les Rives;150;0;150;1,00
34135;Lespignan;3414;0;3414;1,00
34137;Liausson;156;0;156;1,00
34138;Lieuran-Cabrières;335;0;335;1,00
34139;Lieuran-lès-Béziers;1486;0;1486;1,00
34140;Lignan-sur-Orb;3227;90;3317;1,03
34142;Lodève;7251;1268;8519;1,17
34143;Loupian;2169;402;2571;1,19
34144;Lunas-les-Châteaux;832;160;992;1,19
34145;Lunel;26623;2654;29277;1,10
34146;Lunel-Viel;4507;0;4507;1,00
34136;Lézignan-la-Cèbe;1580;0;1580;1,00
34147;Magalas;3582;0;3582;1,00
34148;Maraussan;4789;0;4789;1,00
34149;Margon;778;26;804;1,03
34150;Marseillan;8414;14370;22784;2,71
34151;Marsillargues;6988;0;6988;1,00
34152;Mas-de-Londres;674;0;674;1,00
34154;Mauguio;16522;3618;20140;1,22
34155;Maureilhan;2495;0;2495;1,00
34158;Minerve;98;0;98;1,00
34159;Mireval;3301;0;3301;1,00
34160;Mons;678;832;1510;2,23
34161;Montady;3990;0;3990;1,00
34162;Montagnac;4515;2064;6579;1,46
34163;Montarnaud;4208;0;4208;1,00
34164;Montaud;1014;0;1014;1,00
34165;Montbazin;2877;0;2877;1,00
34166;Montblanc;2932;642;3574;1,22
34167;Montels;247;0;247;1,00
34168;Montesquieu;75;0;75;1,00
34169;Montferrier-sur-Lez;4135;100;4235;1,02
34170;Montouliers;242;0;242;1,00
34171;Montoulieu;189;256;445;2,35
